title,thumb,link,image_link,
"R in a Nutshell: A Desktop Quick Reference, by Joseph Adler",#NAME?,http://www.amazon.com/gp/product/059680170X/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=059680170X,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=059680170X&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"Statistics in a Nutshell: A Desktop Quick Reference, by Sarah Boslaugh, Paul Andrew Watters",#NAME?,http://www.amazon.com/gp/product/0596510497/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=0596510497,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=0596510497&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"The Signal and the Noise: Why So Many Predictions Fail Ñ but Some Don't, by Nate Silver",#NAME?,http://www.amazon.com/gp/product/159420411X/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=159420411X&linkCode=as2&linkId=PXMM2XAQATMNJRME,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=159420411X&Format=_SL110_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1,
"Small Data: The Tiny Clues That Uncover Huge Trends, by Martin Lindstrom",#NAME?,https://www.amazon.com/gp/product/1250080681/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1250080681&linkCode=as2&linkId=7e77fd0660bb31726c98bd5ccc3fd8c1,http://ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&MarketPlace=US&ASIN=1250080681&ServiceVersion=20070822&ID=AsinImage&WS=1&Format=_SL110_,
"Thinking Fast and Slow, by Daniel Kahenman",#NAME?,http://www.amazon.com/gp/product/0374275637/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=1789&creative=9325&creativeASIN=0374275637,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=0374275637&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"Turning Numbers into Knowledge: Mastering the Art of Problem Solving, by Jon Koomey",#NAME?,http://www.amazon.com/gp/product/0970601921/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=0970601921,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=0970601921&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"Unfolding the Napkin: The Hands-On Method for Solving Complex Problems with Simple Pictures, by Dan Roam",#NAME?,http://www.amazon.com/gp/product/1591843197/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=1591843197,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=1591843197&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"Ways of Seeing: Based on the BBC Television Series, by John S. Berger",#NAME?,http://www.amazon.com/gp/product/0140135154/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=0140135154,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=0140135154&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
"We Feel Fine: An Almanac of Human Emotion, by Sep Kamvar",#NAME?,http://www.amazon.com/gp/product/B003STCKMG/ref=as_li_tf_il?ie=UTF8&linkCode=as2&camp=217145&creative=399369&creativeASIN=B003STCKMG,http://ws.assoc-amazon.com/widgets/q?_encoding=UTF8&Format=_SL110_&ASIN=B003STCKMG&MarketPlace=US&ID=AsinImage&WS=1&ServiceVersion=20070822,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
